portfolio_company,initial_acquisition_date,geographic_region,fair_value,asset_class,principal_amount,shares_units,industry,part,table_index,row_index,cost
"Bertram Growth Capital IV-A, L.P.",1/7/2022,North America,6733739,,,,Primary Fund Investments 30.1%,ea0220896-01_ncsrs,3,2,
Dawson Evergreen 1 LP,5/28/2024,North America,75299990,,,,Primary Fund Investments 30.1%,ea0220896-01_ncsrs,3,3,
"Glouston Private Equity Opportunities VII FTE, L.P.",4/15/2024,North America,11819999,,,,Primary Fund Investments 30.1%,ea0220896-01_ncsrs,3,4,
"Gryphon Partners VI-A, L.P.",1/7/2022,North America,6974349,,,,Primary Fund Investments 30.1%,ea0220896-01_ncsrs,3,5,
"Headlands Capital Offshore IV, LP",4/18/2024,North America,28960017,,,,Primary Fund Investments 30.1%,ea0220896-01_ncsrs,3,6,
ICG LP Secondaries Fund I (Feeder) SCSp,4/12/2024,North America,2570205,,,,Primary Fund Investments 30.1%,ea0220896-01_ncsrs,3,7,
"Kohlberg Investors X, LP",9/27/2024,North America,651357,,,,Primary Fund Investments 30.1%,ea0220896-01_ncsrs,3,8,
"NewView Capital Special Opportunities Fund III, L.P.",6/12/2024,North America,22420494,,,,Primary Fund Investments 30.1%,ea0220896-01_ncsrs,3,9,
"OceanSound Partners Fund, LP",1/7/2022,North America,8414954,,,,Primary Fund Investments 30.1%,ea0220896-01_ncsrs,3,10,
"Pathway Select Fund, LP Series A",3/28/2024,North America,265455307,,,,Primary Fund Investments 30.1%,ea0220896-01_ncsrs,3,11,
"A&M Capital Partners, LP",9/30/2024,North America,1682755,,,,Secondary Fund Investments 40.5%,ea0220896-01_ncsrs,3,15,
ABRY Senior Equity IV,9/30/2024,North America,128797,,,,Secondary Fund Investments 40.5%,ea0220896-01_ncsrs,3,16,
"AE Industrial Partners Extended Value Fund, LP",1/7/2022,North America,518142,,,,Secondary Fund Investments 40.5%,ea0220896-01_ncsrs,3,17,
Atlas Capital Resources II,9/30/2024,North America,7981987,,,,Secondary Fund Investments 40.5%,ea0220896-01_ncsrs,3,18,
BC Partners Galileo (1) L.P. Class 1,1/7/2022,Europe,8006191,,,,Secondary Fund Investments 40.5%,ea0220896-01_ncsrs,3,19,
BC Partners Galileo (1) L.P. Class 2,1/7/2022,Europe,441180,,,,Secondary Fund Investments 40.5%,ea0220896-01_ncsrs,3,20,
"Beecken Petty OKeefe Fund IV, L.P.",9/30/2024,North America,149374,,,,Secondary Fund Investments 40.5%,ea0220896-01_ncsrs,3,21,
Blue Sea Capital Fund I,9/30/2024,Europe,368050,,,,Secondary Fund Investments 40.5%,ea0220896-01_ncsrs,3,22,
Blue Wolf Capital Fund III,9/30/2024,North America,12778029,,,,Secondary Fund Investments 40.5%,ea0220896-01_ncsrs,3,23,
CapStreet IV,9/30/2024,North America,5208776,,,,Secondary Fund Investments 40.5%,ea0220896-01_ncsrs,3,24,
"Carousel Capital Apex Rollover Partners, L.P.",9/30/2024,North America,1751498,,,,Secondary Fund Investments 40.5%,ea0220896-01_ncsrs,3,25,
Carousel Capital Partners IV,9/30/2024,North America,2211453,,,,Secondary Fund Investments 40.5%,ea0220896-01_ncsrs,3,26,
Carrick Capital Partners,9/30/2024,North America,2608518,,,,Secondary Fund Investments 40.5%,ea0220896-01_ncsrs,3,27,
Catterton Growth Partners II,9/30/2024,North America,15667403,,,,Secondary Fund Investments 40.5%,ea0220896-01_ncsrs,3,28,
"Centre Capital Investors VI, L.P.",9/30/2024,North America,6129937,,,,Secondary Fund Investments 40.5%,ea0220896-01_ncsrs,3,29,
Centre Lane Partners III,9/30/2024,North America,21621951,,,,Secondary Fund Investments 40.5%,ea0220896-01_ncsrs,3,30,
"CIP Capital Fund, L.P.",9/30/2024,North America,,,,,Secondary Fund Investments 40.5%,ea0220896-01_ncsrs,3,31,
"EDG Partners Fund II, L.P.",9/30/2024,North America,818219,,,,Secondary Fund Investments 40.5%,ea0220896-01_ncsrs,3,32,
Edgewater Capital Partners III,9/30/2024,North America,7017827,,,,Secondary Fund Investments 40.5%,ea0220896-01_ncsrs,3,33,
Endeavour Capital Fund VI,9/30/2024,North America,228429,,,,Secondary Fund Investments 40.5%,ea0220896-01_ncsrs,3,34,
FB HA Holdings LP,1/7/2022,North America,5806998,,,,Secondary Fund Investments 40.5%,ea0220896-01_ncsrs,3,35,
"Founders Circle Capital Co-Invest Series, L.P. Series 8",5/24/2024,North America,8472879,,,,Secondary Fund Investments 40.5%,ea0220896-01_ncsrs,3,36,
"Glouston Private Equity Opportunities VII(a), L.P.",5/29/2024,North America,7660771,,,,Secondary Fund Investments 40.5%,ea0220896-01_ncsrs,3,37,
"Gores Small Capitalization Partners, L.P.",9/30/2024,North America,1217440,,,,Secondary Fund Investments 40.5%,ea0220896-01_ncsrs,3,38,
Gridiron Capital Fund II,9/30/2024,North America,1673440,,,,Secondary Fund Investments 40.5%,ea0220896-01_ncsrs,3,39,
"Gryphon Partners 3.5, L.P.",9/30/2024,North America,110850,,,,Secondary Fund Investments 40.5%,ea0220896-01_ncsrs,3,40,
"Harvest Partners VI, L.P.",9/30/2024,North America,1948219,,,,Secondary Fund Investments 40.5%,ea0220896-01_ncsrs,3,41,
HCI Equity Partners IV,9/30/2024,North America,15176984,,,,Secondary Fund Investments 40.5%,ea0220896-01_ncsrs,3,42,
"Health Velocity Capital IVX Special Situation Fund, L.P.",5/22/2024,North America,13898085,,,,Secondary Fund Investments 40.5%,ea0220896-01_ncsrs,3,43,
Housatonic Equity Investors V,9/30/2024,North America,4625594,,,,Secondary Fund Investments 40.5%,ea0220896-01_ncsrs,5,2,
"HPS KP Mezz 2019 Co-Invest, L.P.",4/1/2024,North America,58882636,,,,Secondary Fund Investments 40.5%,ea0220896-01_ncsrs,5,3,
"HPS KP SIP V Co-Investment Fund, L.P.",4/1/2024,North America,19097428,,,,Secondary Fund Investments 40.5%,ea0220896-01_ncsrs,5,4,
"HPS Offshore Mezzanine Partners 2019, LP",4/1/2024,North America,28413035,,,,Secondary Fund Investments 40.5%,ea0220896-01_ncsrs,5,5,
"HPS Offshore Strategic Investment Partners V, L.P.",4/1/2024,North America,19804624,,,,Secondary Fund Investments 40.5%,ea0220896-01_ncsrs,5,6,
ICG Ludgate Hill (Feeder) V-A Charger SCSp,3/22/2024,North America,8784473,,,,Secondary Fund Investments 40.5%,ea0220896-01_ncsrs,5,7,
"Icon Partners V, L.P.",1/7/2022,North America,9818891,,,,Secondary Fund Investments 40.5%,ea0220896-01_ncsrs,5,8,
"JFL-NG Continuation Fund, L.P.",1/7/2022,North America,15072293,,,,Secondary Fund Investments 40.5%,ea0220896-01_ncsrs,5,9,
KarpReilly Capital Partners II,9/30/2024,North America,9592290,,,,Secondary Fund Investments 40.5%,ea0220896-01_ncsrs,5,10,
"LLR Equity Partners IV, L.P.",9/30/2024,North America,1822167,,,,Secondary Fund Investments 40.5%,ea0220896-01_ncsrs,5,11,
Mainsail Partners III,9/30/2024,North America,4406593,,,,Secondary Fund Investments 40.5%,ea0220896-01_ncsrs,5,12,
"Marilyn Co-Invest, L.P.",4/1/2024,North America,19717514,,,,Secondary Fund Investments 40.5%,ea0220896-01_ncsrs,5,13,
"MetLife Investment Private Equity Partners II (Feeder), L.P.",6/28/2024,North America,20915813,,,,Secondary Fund Investments 40.5%,ea0220896-01_ncsrs,5,14,
"Mezzanine Partners III, L.P.",9/30/2024,North America,6334498,,,,Secondary Fund Investments 40.5%,ea0220896-01_ncsrs,5,15,
"Milano Co-Invest, L.P.",4/1/2024,North America,4100429,,,,Secondary Fund Investments 40.5%,ea0220896-01_ncsrs,5,16,
"Minerva Co-Invest, L.P.",4/1/2024,North America,9969713,,,,Secondary Fund Investments 40.5%,ea0220896-01_ncsrs,5,17,
Montagu + SCSp,1/7/2022,Europe,10644437,,,,Secondary Fund Investments 40.5%,ea0220896-01_ncsrs,5,18,
"NEA Secondary Opportunity Fund, L.P.",7/10/2024,North America,28960336,,,,Secondary Fund Investments 40.5%,ea0220896-01_ncsrs,5,19,
Novacap TMT IV,9/30/2024,North America,16875364,,,,Secondary Fund Investments 40.5%,ea0220896-01_ncsrs,5,20,
"NSH Verisma Holdco, L.P.",1/7/2022,North America,9845507,,,,Secondary Fund Investments 40.5%,ea0220896-01_ncsrs,5,21,
"Odyssey Investment Partners Fund V, LP",9/30/2024,North America,4472485,,,,Secondary Fund Investments 40.5%,ea0220896-01_ncsrs,5,22,
OFS Energy Fund III,9/30/2024,North America,1047233,,,,Secondary Fund Investments 40.5%,ea0220896-01_ncsrs,5,23,
Platte River Equity III,9/30/2024,North America,7334482,,,,Secondary Fund Investments 40.5%,ea0220896-01_ncsrs,5,24,
Quad Partners IV,9/30/2024,North America,1421302,,,,Secondary Fund Investments 40.5%,ea0220896-01_ncsrs,5,25,
"Riverside Fund V SQ-A, L.P.",9/30/2024,North America,5264718,,,,Secondary Fund Investments 40.5%,ea0220896-01_ncsrs,5,26,
RoundTable Healthcare Partners III,9/30/2024,North America,19534889,,,,Secondary Fund Investments 40.5%,ea0220896-01_ncsrs,5,27,
Shamrock Capital Growth Fund III,9/30/2024,North America,3334760,,,,Secondary Fund Investments 40.5%,ea0220896-01_ncsrs,5,28,
"ShoreView Capital Partners III, L.P.",9/30/2024,North America,16958615,,,,Secondary Fund Investments 40.5%,ea0220896-01_ncsrs,5,29,
Siris Partners II,9/30/2024,North America,95390,,,,Secondary Fund Investments 40.5%,ea0220896-01_ncsrs,5,30,
SK Capital Partners III,9/30/2024,North America,6028595,,,,Secondary Fund Investments 40.5%,ea0220896-01_ncsrs,5,31,
"Stork SPV, LP",1/7/2022,North America,5816388,,,,Secondary Fund Investments 40.5%,ea0220896-01_ncsrs,5,32,
Swander Pace Capital V,9/30/2024,North America,3088382,,,,Secondary Fund Investments 40.5%,ea0220896-01_ncsrs,5,33,
Trinity Hunt Partners IV,9/30/2024,North America,6756669,,,,Secondary Fund Investments 40.5%,ea0220896-01_ncsrs,5,34,
Trive Capital Fund I,9/30/2024,North America,1250787,,,,Secondary Fund Investments 40.5%,ea0220896-01_ncsrs,5,35,
TriWest Capital Partners IV,9/30/2024,North America,3335765,,,,Secondary Fund Investments 40.5%,ea0220896-01_ncsrs,5,36,
"TSCP CV I, L.P.",1/7/2022,North America,5677495,,,,Secondary Fund Investments 40.5%,ea0220896-01_ncsrs,5,37,
"TSCP CV II, L.P.",9/6/2024,North America,15391515,,,,Secondary Fund Investments 40.5%,ea0220896-01_ncsrs,5,38,
VMG Partners II,9/30/2024,North America,1773,,,,Secondary Fund Investments 40.5%,ea0220896-01_ncsrs,5,39,
Water Street Healthcare Partners III,9/30/2024,North America,6331404,,,,Secondary Fund Investments 40.5%,ea0220896-01_ncsrs,5,40,
Windjammer Senior Equity Fund IV,9/30/2024,North America,3697831,,,,Secondary Fund Investments 40.5%,ea0220896-01_ncsrs,5,41,
AH Parent Inc (Alliant Inc) Class A Preferred,9/26/2024,North America,14775000,,,15000,Equity Co-Investments 15.8%,ea0220896-01_ncsrs,7,2,
"BPCP NSA Holdings, Inc. Common",5/15/2024,North America,3103056,,,3000,Equity Co-Investments 15.8%,ea0220896-01_ncsrs,7,3,
"BPCP NSA Holdings, Inc. Preferred",5/15/2024,North America,9000000,,,6000,Equity Co-Investments 15.8%,ea0220896-01_ncsrs,7,4,
"BSP-TS, Co-Invest I, LLC",1/7/2022,North America,3044308,,,,Equity Co-Investments 15.8%,ea0220896-01_ncsrs,7,5,
"Circle Pharma, Inc. Series D",8/29/2024,North America,4999999,,,7965588,Equity Co-Investments 15.8%,ea0220896-01_ncsrs,7,6,
"EPP Holdings, LLC",1/7/2022,North America,4743867,,,260000,Equity Co-Investments 15.8%,ea0220896-01_ncsrs,7,7,
"Gallant Screening Holdco, Inc.",1/7/2022,North America,6846997,,,,Equity Co-Investments 15.8%,ea0220896-01_ncsrs,7,8,
"HH-Dayco Parent, LP",9/20/2022,North America,13361379,,,,Equity Co-Investments 15.8%,ea0220896-01_ncsrs,7,9,
"HiBid Aggregator, LP",9/25/2024,North America,10030292,,,10000,Equity Co-Investments 15.8%,ea0220896-01_ncsrs,7,10,
"Insight Hideaway Aggregator, L.P.",4/3/2024,North America,10838370,,,,Equity Co-Investments 15.8%,ea0220896-01_ncsrs,7,11,
"JFL-Tiger Co-Invest Partners, L.P.",7/31/2024,North America,8267159,,,,Equity Co-Investments 15.8%,ea0220896-01_ncsrs,7,12,
"KCLR Co-Invest, L.P.",8/26/2024,North America,15143422,,,15000,Equity Co-Investments 15.8%,ea0220896-01_ncsrs,7,13,
"NEA CH SPV, L.P.",5/9/2024,North America,10252280,,,,Equity Co-Investments 15.8%,ea0220896-01_ncsrs,7,14,
"NEA TS 2024 SPV, L.P.",7/22/2024,North America,4063708,,,,Equity Co-Investments 15.8%,ea0220896-01_ncsrs,7,15,
"Nefco Acquisitions, Inc. Series A1",8/5/2022,North America,2658293,,,2658,Equity Co-Investments 15.8%,ea0220896-01_ncsrs,7,16,
"Nefco Acquisitions, Inc. Series B1",3/31/2023,North America,89776,,,80,Equity Co-Investments 15.8%,ea0220896-01_ncsrs,7,17,
"Nefco Acquisitions, Inc. Series C1",10/12/2023,North America,233761,,,177,Equity Co-Investments 15.8%,ea0220896-01_ncsrs,7,18,
"NGM Bio Holdings, Inc. Series A",7/5/2024,North America,9000000,,,3000000,Equity Co-Investments 15.8%,ea0220896-01_ncsrs,7,19,
"North American Essential Services Aggregator, LP",1/7/2022,North America,4693595,,,2684,Equity Co-Investments 15.8%,ea0220896-01_ncsrs,7,20,
"OceanSound Partners Co-Invest II, LP Series D",1/7/2022,North America,5117909,,,,Equity Co-Investments 15.8%,ea0220896-01_ncsrs,7,21,
"OEP VIII Project Laser Co-Investment Partners, L.P.",3/17/2023,North America,3762404,,,,Equity Co-Investments 15.8%,ea0220896-01_ncsrs,7,22,
PSC Tiger LP,9/4/2024,Europe,10988486,,,,Equity Co-Investments 15.8%,ea0220896-01_ncsrs,7,23,
"RCR Equity, LP Class A Common",4/30/2024,North America,103909,,,56000,Equity Co-Investments 15.8%,ea0220896-01_ncsrs,7,24,
"RCR Equity, LP Class A Preferred",4/30/2024,North America,5544000,,,5544000,Equity Co-Investments 15.8%,ea0220896-01_ncsrs,7,25,
Smash Capital Trend Aggregator LLC,8/12/2024,North America,20855250,,,,Equity Co-Investments 15.8%,ea0220896-01_ncsrs,7,26,
"TCV Beat Co, L.P.",9/27/2024,Europe,5045751,,,,Equity Co-Investments 15.8%,ea0220896-01_ncsrs,7,27,
"TSS Co-Invest Holdings, LP",9/9/2022,North America,8054452,,,,Equity Co-Investments 15.8%,ea0220896-01_ncsrs,7,28,
VCF Compass Co-Investor Holdings L.P.,4/25/2024,North America,10254060,,,,Equity Co-Investments 15.8%,ea0220896-01_ncsrs,7,29,
Violet Investors LP,9/12/2024,North America,20300990,,,,Equity Co-Investments 15.8%,ea0220896-01_ncsrs,7,30,
"CCOF III Nexus Co-Invest Aggregator, L.P.",3/22/2024,Europe,5175187,,,,Credit Co-Investments 2.5%,ea0220896-01_ncsrs,7,35,
"CP ACP, LLC",6/12/2024,North America,3244260,,3336,,Credit Co-Investments 2.5%,ea0220896-01_ncsrs,7,36,
Gramercy PG Holdings II LP,8/20/2024,Europe,6398293,,,,Credit Co-Investments 2.5%,ea0220896-01_ncsrs,7,37,
"Term Loan, USD 13.75%, 8/15/26",4/5/2024,North America,6510811,,6609180,,Credit Co-Investments 2.5%,ea0220896-01_ncsrs,7,39,
"Delayed Draw, USD 13.75%, 8/15/26",4/5/2024,North America,3578720,,3632790,,Credit Co-Investments 2.5%,ea0220896-01_ncsrs,7,40,
"Nader Upside 2 Sarl, EUR PIK Term Loan, 3 mo. EURIBOR+10.25%, 13.60% EUR, 3/13/28",3/14/2024,Europe,5263308,,4858559,,Credit Co-Investments 2.5%,ea0220896-01_ncsrs,7,41,
"Symbiotic Capital EB Fund, L.P.",3/7/2024,North America,5521767,,,,Credit Co-Investments 2.5%,ea0220896-01_ncsrs,7,42,
Cliffwater Corporate Lending Fund Class I,,,100551978,,,9199632,Mutual Funds 7.1%,ea0220896-01_ncsrs,9,2,
"State Street Institutional U.S. Government Money Market Fund, 4.94%",,,164346390,,,164346390,Short-Term Investments 11.5%,ea0220896-01_ncsrs,9,6,
"Bertram Growth Capital IV-A, L.P.",1/7/2022,North America,7183938,,,,Primary Fund Investments — 28.2%,ea0264559-01_ncsrs,3,2,4443432
BlackRock Secondaries & Liquidity Solutions II (Lux) SCSp,12/27/2024,North America,40164236,,,,Primary Fund Investments — 28.2%,ea0264559-01_ncsrs,3,3,30000000
"BPOC Fund VI-A, L.P.",6/6/2025,North America,7452207,,,,Primary Fund Investments — 28.2%,ea0264559-01_ncsrs,3,4,6073055
Dawson Portfolio Finance Evergreen LP,5/28/2024,North America,79606439,,,68333,Primary Fund Investments — 28.2%,ea0264559-01_ncsrs,3,5,70000000
"DFJ Growth V, L.P.",11/27/2024,North America,2208839,,,,Primary Fund Investments — 28.2%,ea0264559-01_ncsrs,3,6,1775000
Envoy Fund I LP,8/29/2025,North America,3033487,,,,Primary Fund Investments — 28.2%,ea0264559-01_ncsrs,3,7,3000000
"Glouston Private Equity Opportunities VII FTE, L.P.",4/15/2024,North America,29584371,,,,Primary Fund Investments — 28.2%,ea0264559-01_ncsrs,3,8,23705000
"Gryphon Partners VI-A, L.P.",1/7/2022,North America,7382911,,,,Primary Fund Investments — 28.2%,ea0264559-01_ncsrs,3,9,7013639
"Haveli Investments Software Fund I Cayman, L.P.",4/28/2025,North America,10938319,,,,Primary Fund Investments — 28.2%,ea0264559-01_ncsrs,3,10,10052623
"Headlands Capital Offshore IV, LP",4/18/2024,North America,37562576,,,,Primary Fund Investments — 28.2%,ea0264559-01_ncsrs,3,11,23380515
ICG LP Secondaries Fund I (Feeder) SCSp,4/12/2024,North America,4514980,,,,Primary Fund Investments — 28.2%,ea0264559-01_ncsrs,3,12,3394210
"JFL Equity Investors VI, L.P.",11/13/2024,North America,11190736,,,,Primary Fund Investments — 28.2%,ea0264559-01_ncsrs,3,13,9055952
"Juxtapose Ventures III, L.P.",12/3/2024,North America,154449,,,,Primary Fund Investments — 28.2%,ea0264559-01_ncsrs,3,14,398230
"Khosla Ventures Opportunity III, L.P.",9/23/2025,North America,635000,,,,Primary Fund Investments — 28.2%,ea0264559-01_ncsrs,3,15,635000
"Kohlberg Investors X, LP",9/27/2024,North America,1912849,,,,Primary Fund Investments — 28.2%,ea0264559-01_ncsrs,3,16,1681549
"Levine Leichtman Capital Partners VII-A, L.P.",12/11/2024,North America,651824,,,,Primary Fund Investments — 28.2%,ea0264559-01_ncsrs,3,17,632442
"Liquid 2 Winners Fund I, L.P.",2/3/2025,North America,3796981,,,,Primary Fund Investments — 28.2%,ea0264559-01_ncsrs,3,18,3375000
MCP Opportunity Secondary Program VI (USD) Feeder SCSp,5/14/2025,North America,1040651,,,,Primary Fund Investments — 28.2%,ea0264559-01_ncsrs,3,19,672374
"NewView Capital Special Opportunities Fund III, L.P.",6/12/2024,North America,34534391,,,,Primary Fund Investments — 28.2%,ea0264559-01_ncsrs,3,20,27983467
"OceanSound Partners Fund, LP",1/7/2022,North America,10310928,,,,Primary Fund Investments — 28.2%,ea0264559-01_ncsrs,3,21,6276546
Overbay 2025 Fund (International) LP,8/29/2025,North America,28779845,,,,Primary Fund Investments — 28.2%,ea0264559-01_ncsrs,3,22,22050000
Overbay Capital Partners 2024 Fund US LP,12/30/2024,North America,12001358,,,,Primary Fund Investments — 28.2%,ea0264559-01_ncsrs,3,23,9000000
"Pathway Select Fund, LP — 2025",3/26/2025,North America,233694709,,,,Primary Fund Investments — 28.2%,ea0264559-01_ncsrs,3,24,213947961
"Pathway Select Fund, LP — Series A",3/28/2024,North America,570670223,,,,Primary Fund Investments — 28.2%,ea0264559-01_ncsrs,3,25,434778670
Patria Acropolis LP,12/18/2024,Europe,8411407,,,,Primary Fund Investments — 28.2%,ea0264559-01_ncsrs,3,26,6369348
Patria SOF V Feeder SCSp,7/23/2025,Europe,26400,,,,Primary Fund Investments — 28.2%,ea0264559-01_ncsrs,3,27,
"PSC V (B), SCSp",8/7/2025,Europe,8727169,,,,Primary Fund Investments — 28.2%,ea0264559-01_ncsrs,3,28,8473794
"Sage Equity Investors Side, L.P.",6/16/2025,North America,603160,,,,Primary Fund Investments — 28.2%,ea0264559-01_ncsrs,3,29,
"SAS Vehicle, L.P.",12/30/2024,North America,18170195,,,,Primary Fund Investments — 28.2%,ea0264559-01_ncsrs,3,30,15388559
SPDW Partners LP,2/5/2025,North America,12789626,,,,Primary Fund Investments — 28.2%,ea0264559-01_ncsrs,3,31,8445097
"TA XV-B, L.P.",2/10/2025,North America,461528,,,,Primary Fund Investments — 28.2%,ea0264559-01_ncsrs,3,32,480000
"TPG GP Solutions (B), L.P.",10/28/2024,North America,8868996,,,,Primary Fund Investments — 28.2%,ea0264559-01_ncsrs,3,33,7887254
"A&M Capital Partners, LP",9/30/2024,North America,1564265,,,,Secondary Fund Investments — 43.6%,ea0264559-01_ncsrs,5,2,1351961
"ABRY Senior Equity IV, L.P.",9/30/2024,North America,458120,,,,Secondary Fund Investments — 43.6%,ea0264559-01_ncsrs,5,3,370695
"ACON Equity Partners 3.5, L.P.",10/1/2024,North America,2965626,,,,Secondary Fund Investments — 43.6%,ea0264559-01_ncsrs,5,4,2683411
"AE Industrial Partners Extended Value Fund, LP",1/7/2022,North America,357675,,,,Secondary Fund Investments — 43.6%,ea0264559-01_ncsrs,5,5,811551
"APH Extended Value Fund H, L.P.",1/30/2025,North America,42123131,,,,Secondary Fund Investments — 43.6%,ea0264559-01_ncsrs,5,6,34829223
"Apse Capital II, L.P.",10/28/2024,Europe,63199143,,,,Secondary Fund Investments — 43.6%,ea0264559-01_ncsrs,5,7,43036676
Atlas Capital Resources II LP,9/30/2024,North America,8244362,,,,Secondary Fund Investments — 43.6%,ea0264559-01_ncsrs,5,8,3564073
"Avenir Growth Partners II, L.P.",6/30/2025,North America,6987463,,,,Secondary Fund Investments — 43.6%,ea0264559-01_ncsrs,5,9,4728785
"Avenir Growth Partners III, L.P.",6/30/2025,North America,10202958,,,,Secondary Fund Investments — 43.6%,ea0264559-01_ncsrs,5,10,8158554
"Avenir Growth Partners IV, L.P.",6/30/2025,North America,28117121,,,,Secondary Fund Investments — 43.6%,ea0264559-01_ncsrs,5,11,20188799
"Avenir Growth Partners V, L.P.",6/30/2025,North America,6408048,,,,Secondary Fund Investments — 43.6%,ea0264559-01_ncsrs,5,12,5059243
"Banneker CV, L.P.",1/21/2025,North America,38880528,,,,Secondary Fund Investments — 43.6%,ea0264559-01_ncsrs,5,13,33304600
BC Partners Galileo (1) L.P. — Class 1,1/7/2022,Europe,5086909,,,,Secondary Fund Investments — 43.6%,ea0264559-01_ncsrs,5,14,3766751
BC Partners Galileo (1) L.P. — Class 2,1/7/2022,Europe,253888,,,,Secondary Fund Investments — 43.6%,ea0264559-01_ncsrs,5,15,181195
"Beecken Petty O’Keefe Fund IV, L.P.",9/30/2024,North America,205054,,,,Secondary Fund Investments — 43.6%,ea0264559-01_ncsrs,5,16,103835
"Blue Point Capital Partners III (A), L.P.",7/1/2025,North America,2189653,,,,Secondary Fund Investments — 43.6%,ea0264559-01_ncsrs,5,17,410819
"Blue Point Capital Partners IV (A), L.P.",7/1/2025,North America,16027195,,,,Secondary Fund Investments — 43.6%,ea0264559-01_ncsrs,5,18,15310786
